ID,Lat,Lon
PAIS-D0034,-38.955936,-68.063715
PAIS-C0023,-33.24,-64.78
PAIS-A0003,-34.608174,-58.447377
PAIS-A0010,-33.24,-64.78
PAIS-A0013,-34.608174,-58.447377
PAIS-A0179,-34.602029,-58.515636
PAIS-A0205,-34.426742,-58.579107
PAIS-A0208,-34.550312,-58.731327
PAIS-A0209,-34.426742,-58.579107
PAIS-A0210,-34.51011,-58.681183
PAIS-A0212,-34.426742,-58.579107
PAIS-A0214,-34.514894,-58.769087
PAIS-A0215,-34.446008,-58.565402
PAIS-A0221,-33.24,-64.78
PAIS-A0223,-34.608174,-58.447377
PAIS-A0225,-34.82765,-58.268117
PAIS-A0231,-34.801045,-58.220742
PAIS-A0232,-34.74406,-58.298032
PAIS-A0233,-34.78803,-58.354402
PAIS-A0234,-34.78803,-58.354402
PAIS-A0246,-34.526575,-58.522636
PAIS-A0248,-34.551054,-58.556386
PAIS-A0253,-34.92888,-58.388632
PAIS-A0254,-34.728823,-58.354788
PAIS-A0270,-34.735711,-58.461328
PAIS-A0275,-33.24,-64.78
PAIS-A0283,-34.762488,-58.423791
PAIS-A0295,-34.921221,-57.94905
PAIS-A0302,-34.507408,-58.565048
PAIS-A0308,-34.816506,-58.469634
PAIS-A0316,-34.70938,-58.280733
PAIS-A0320,-34.746391,-58.233585
PAIS-A0321,-34.74406,-58.298032
PAIS-C0001,-34.568209,-59.11826
PAIS-C0004,-34.568209,-59.11826
PAIS-C0008,-34.568209,-59.11826
PAIS-C0016,-34.430403,-59.127797
PAIS-C0024,-33.24,-64.78
PAIS-D0001,-33.24,-64.78
PAIS-D0003,-54.806623,-68.300057
PAIS-D0005,-54.806623,-68.300057
PAIS-D0011,-53.787461,-67.70213
PAIS-D0012,-53.787461,-67.70213
PAIS-D0013,-54.806623,-68.300057
PAIS-D0016,-54.806623,-68.300057
PAIS-D0018,-33.24,-64.78
PAIS-D0020,-54.806623,-68.300057
PAIS-D0022,-54.806623,-68.300057
PAIS-D0025,-54.806623,-68.300057
PAIS-D0029,-54.806623,-68.300057
PAIS-D0031,-54.806623,-68.300057
PAIS-D0036,-38.900678,-70.058446
PAIS-D0037,-38.900678,-70.058446
PAIS-D0040,-38.526448,-70.365997
PAIS-D0042,-38.526448,-70.365997
PAIS-D0043,-38.933259,-69.231824
PAIS-D0044,-40.76252,-71.643721
PAIS-D0046,-38.070415,-70.612362
PAIS-D0047,-38.939659,-67.991366
PAIS-D0048,-40.76252,-71.643721
PAIS-D0050,-38.070415,-70.612362
PAIS-D0051,-38.070415,-70.612362
PAIS-D0052,-38.955936,-68.063715
PAIS-D0053,-38.955936,-68.063715
PAIS-D0054,-38.955936,-68.063715
PAIS-D0055,-38.955936,-68.063715
PAIS-D0056,-38.955936,-68.063715
PAIS-G0002,-31.415242,-64.197766
PAIS-G0008,-31.415242,-64.197766
PAIS-G0010,-31.415242,-64.197766
PAIS-G0011,-31.415242,-64.197766
PAIS-G0012,-31.415242,-64.197766
PAIS-G0015,-32.621949,-62.70832
PAIS-G0016,-32.621949,-62.70832
PAIS-A0001,-34.608174,-58.447377
PAIS-A0002,-34.608174,-58.447377
PAIS-A0005,-38.725189,-62.263362
PAIS-A0011,-38.725189,-62.263362
PAIS-A0014,-38.725189,-62.263362
PAIS-A0016,-34.608174,-58.447377
PAIS-A0027,-34.608174,-58.447377
PAIS-A0134,-34.650406,-58.440309
PAIS-A0141,-34.650406,-58.440309
PAIS-A0219,-38.725189,-62.263362
PAIS-A0228,-34.778847,-58.311122
PAIS-A0268,-34.735711,-58.461328
PAIS-A0290,-34.921221,-57.94905
PAIS-A0317,-34.7775,-58.237985
PAIS-A0324,-34.725772,-58.256141
PAIS-D0006,-33.24,-64.78
PAIS-D0032,-38.939659,-67.991366
PAIS-D0033,-38.939659,-67.991366
PAIS-D0035,-38.955936,-68.063715
PAIS-D0045,-40.145217,-71.30785
PAIS-D0059,-39.033235,-67.589587
PAIS-D0060,-33.24,-64.78
PAIS-G0004,-32.407322,-63.240254
PAIS-G0005,-32.407322,-63.240254
PAIS-G0006,-32.407322,-63.240254
PAIS-A0017,-41.141243,-71.344021
PAIS-A0018,-34.608174,-58.447377
PAIS-A0020,-34.608174,-58.447377
PAIS-A0021,-34.608174,-58.447377
PAIS-A0022,-34.608174,-58.447377
PAIS-A0173,-34.650406,-58.440309
PAIS-A0230,-34.801292,-58.342933
PAIS-A0238,-34.797086,-58.276311
PAIS-A0241,-34.635274,-58.797534
PAIS-A0243,-34.651346,-58.558665
PAIS-A0244,-34.711158,-58.624906
PAIS-A0245,-34.659299,-58.617761
PAIS-A0258,-34.74276,-58.393377
PAIS-A0259,-34.725614,-58.398821
PAIS-A0264,-34.816506,-58.469634
PAIS-A0271,-34.873308,-58.538751
PAIS-A0291,-34.977606,-58.123123
PAIS-A0292,-35.166307,-58.231633
PAIS-A0293,-35.048967,-58.760518
PAIS-A0294,-34.746063,-58.589938
PAIS-A0319,-34.725772,-58.256141
PAIS-C0002,-34.594972,-58.66446
PAIS-C0003,-34.635274,-58.797534
PAIS-C0006,-34.635274,-58.797534
